technology,plant_id,generator_id,capacity_mw,capacity_mwh,nameplate_capacity_mw,winter_capacity_mw,operating_year,retirement_year,historical_capacity_factor,heat_rate_mmbtu_mwh,vom_per_mwh,fom_per_mwyr
Petroleum Liquids,26,GT4,8.0,,10.6,10.0,1970,2030,0.001,23.38,28.46452204,307.06971100000004
Natural Gas Steam Turbine,26,ST4,128.0,,122.4,128.0,1962,2037,0.153,10.856,0.131878475,4345.960941
Natural Gas Steam Turbine,26,ST4,128.0,,122.4,128.0,1962,2037,0.153,10.856,0.131878475,4345.960941
Petroleum Liquids,30,1,3.1,,3.1,3.1,2001,2051,0.0,12.159,5.481526534,1230.331313
Petroleum Liquids,30,2,1.8,,2.0,2.0,1965,2030,0.0,12.159,5.481526534,1230.331313
Petroleum Liquids,30,3,0.9,,1.1,1.0,1959,2030,0.0,12.159,5.481526534,1230.331313
Petroleum Liquids,30,4,3.7,,4.3,4.0,1973,2023,0.0,12.159,5.481526534,1230.331313
Petroleum Liquids,30,5,1.1,,1.3,1.2,1954,2030,0.0,12.159,5.481526534,1230.331313
Run of River Hydroelectric,34,1P,12.1,,12.1,12.1,1980,2080,0.533,,0.0,11166.0
Run of River Hydroelectric,38,1,30.0,,33.7,30.0,1970,2070,0.433,,0.0,9361.0
Run of River Hydroelectric,38,2,30.0,,33.7,30.0,1970,2070,0.433,,0.0,9323.0
Run of River Hydroelectric,38,3,30.0,,33.7,30.0,1970,2070,0.433,,0.0,9323.0
Nuclear,46,1,1227.4,,1281.0,1254.8,1974,2054,0.928,10.456,0.074382855,55596.75186
Nuclear,46,2,1207.7,,1281.0,1242.0,1975,2055,0.896,10.456,0.077039386,55596.75186
Nuclear,46,3,1226.6,,1292.0,1259.0,1977,2057,0.908,10.456,0.076021244,55596.75186
Natural Gas Fired Combustion Turbine,47,GT1,45.4,,59.5,60.8,1972,2027,0.004,25.0,2.970058035,3795.094032
Batteries,67464,CM1BS,1.0,2.0,1.0,1.0,2023,2038,0.85,,0.0,17250.0
Natural Gas Fired Combustion Turbine,47,GT10,221.0,,231.2,231.0,2023,2078,0.924,9.447,2.46,4120.0
Natural Gas Fired Combustion Turbine,47,GT2,45.4,,59.5,60.8,1972,2027,0.004,25.0,2.970058035,3795.094032
Natural Gas Fired Combustion Turbine,47,GT3,45.4,,59.5,60.8,1972,2027,0.004,25.0,2.970058035,3795.094032
Natural Gas Fired Combustion Turbine,47,GT4,45.4,,59.5,60.8,1972,2027,0.004,25.0,2.970058035,3795.094032
Natural Gas Fired Combustion Turbine,47,GT5,45.4,,59.5,60.8,1972,2027,0.004,25.0,2.970058035,3795.094032
Natural Gas Fired Combustion Turbine,47,GT6,45.4,,59.5,60.8,1972,2027,0.004,25.0,2.970058035,3795.094032
Natural Gas Fired Combustion Turbine,47,GT7,45.4,,59.5,60.8,1972,2027,0.004,25.0,2.970058035,3795.094032
Natural Gas Fired Combustion Turbine,47,GT8,45.4,,59.5,60.8,1972,2027,0.004,25.0,2.970058035,3795.094032
Natural Gas Fired Combustion Turbine,47,GT11,221.0,,231.2,231.0,2023,2078,0.924,9.447,2.46,4120.0
Conventional Hydroelectric,48,1,31.0,,28.8,31.4,1939,2039,0.595,,0.0,9023.0
Conventional Hydroelectric,48,2,30.6,,28.8,31.1,1939,2039,0.594,,0.0,9093.0
Conventional Hydroelectric,48,3,29.8,,28.8,30.3,1939,2039,0.594,,0.0,9150.0
Conventional Hydroelectric,48,4,31.3,,28.8,31.7,1952,2052,0.595,,0.0,9666.0
Conventional Hydroelectric,49,1,34.1,,35.1,35.6,1936,2036,0.447,,0.0,8437.0
Conventional Hydroelectric,49,10,41.9,,36.0,38.3,1963,2063,0.478,,0.0,9056.0
Conventional Hydroelectric,49,11,41.9,,43.6,38.2,1963,2063,0.478,,0.0,9086.0
Conventional Hydroelectric,49,2,33.2,,35.1,30.1,1937,2037,0.48,,0.0,8591.0
Conventional Hydroelectric,49,3,33.6,,35.1,30.4,1941,2041,0.48,,0.0,8561.0
Conventional Hydroelectric,49,4,33.4,,35.1,30.2,1941,2041,0.48,,0.0,8587.0
Conventional Hydroelectric,49,5,34.7,,35.1,31.4,1948,2048,0.48,,0.0,8553.0
Conventional Hydroelectric,49,6,34.6,,35.1,31.3,1949,2049,0.48,,0.0,9199.0
Conventional Hydroelectric,49,7,34.4,,35.1,31.1,1949,2049,0.48,,0.0,9220.0
Conventional Hydroelectric,49,8,34.5,,35.1,31.2,1950,2050,0.48,,0.0,9095.0
Conventional Hydroelectric,49,9,41.9,,43.6,38.2,1962,2062,0.478,,0.0,9077.0
Run of River Hydroelectric,53,3,0.8,,1.2,0.8,1926,2026,0.199,,0.0,14658.0
Run of River Hydroelectric,53,4,1.8,,1.8,1.8,1985,2085,0.199,,0.0,14532.0
Natural Gas Fired Combustion Turbine,54,GT1,104.0,,149.0,142.0,1999,2054,0.061,12.843,6.298266361,1229.357899
Natural Gas Fired Combustion Turbine,54,GT10,88.0,,98.0,103.0,2010,2065,0.062,12.841,1.74861846,1121.119057
Natural Gas Fired Combustion Turbine,54,GT2,104.0,,149.0,142.0,1999,2054,0.061,12.841,6.298266361,1229.357899
Natural Gas Fired Combustion Turbine,54,GT3,104.0,,149.0,142.0,1999,2054,0.061,12.841,6.298266361,1229.357899
Natural Gas Fired Combustion Turbine,54,GT4,74.0,,108.0,93.0,2001,2056,0.063,12.839,6.298266361,1229.357899
Natural Gas Fired Combustion Turbine,54,GT5,74.0,,108.0,88.0,2001,2056,0.065,12.839,6.298266361,1229.357899
Natural Gas Fired Combustion Turbine,54,GT6,74.0,,98.0,88.0,2005,2060,0.065,12.838,6.298266361,1229.357899
Natural Gas Fired Combustion Turbine,54,GT7,74.0,,98.0,88.0,2005,2060,0.065,12.838,6.298266361,1229.357899
Natural Gas Fired Combustion Turbine,54,GT9,88.0,,98.0,103.0,2010,2065,0.062,12.84,1.74861846,1121.119057
Run of River Hydroelectric,55,1,1.4,,1.6,1.4,1925,2025,0.288,,0.0,12529.0
Run of River Hydroelectric,55,2,1.4,,1.6,1.4,1925,2025,0.288,,0.0,12645.0
Run of River Hydroelectric,55,3,1.6,,2.0,1.6,1949,2049,0.288,,0.0,13817.0
Natural Gas Fired Combined Cycle,56,LEC1,380.0,,459.0,421.0,2023,2078,0.87,6.226,1.29,7132.0
Natural Gas Fired Combined Cycle,56,LEC2,259.0,,273.7,266.0,2023,2078,0.87,6.226,1.29,7132.0
Conventional Steam Coal,59,1,100.0,,109.8,100.0,1982,2057,0.477,11.599,1.096162715,21673.955570000002
Conventional Steam Coal,60,1,76.0,,76.3,76.0,1981,2046,0.551,15.04,1.096162715,21673.955570000002
Conventional Steam Coal,60,2,34.98,,39.432,34.98,2011,2076,0.456,15.082,1.096162715,21673.955570000002
Conventional Steam Coal,60,2,10.12,,11.408,10.12,2011,2076,0.456,15.082,1.096162715,21673.955570000002
Conventional Steam Coal,60,2,80.08,,90.272,80.08,2011,2076,0.456,15.082,1.096162715,21673.955570000002
Conventional Steam Coal,60,2,80.08,,90.272,80.08,2011,2076,0.456,15.082,1.096162715,21673.955570000002
Conventional Steam Coal,60,2,14.96,,16.864,14.96,2011,2076,0.456,15.082,1.096162715,21673.955570000002
Run of River Hydroelectric,72,1,10.1,,10.1,10.1,1982,2082,0.0,,0.0,8899.0
Run of River Hydroelectric,88,1,1.8,,2.3,1.8,1982,2082,0.24,,0.0,13893.0
Run of River Hydroelectric,88,2,1.8,,2.3,1.8,1982,2082,0.24,,0.0,13802.0
Natural Gas Fired Combustion Turbine,99,1,67.0,,88.9,81.1,1981,2036,0.058,14.506,1.74861846,10539.91632
Natural Gas Fired Combustion Turbine,99,2,67.0,,88.9,81.1,1981,2036,0.058,14.507,1.74861846,10539.91632
Run of River Hydroelectric,100,SC1,1.4,,1.4,1.4,1981,2081,0.04,,0.0,12806.0
Hydroelectric Pumped Storage,104,1,199.8,3096.9,199.8,199.8,1987,2087,0.087,,0.0,8756.0
Conventional Steam Coal,108,1,358.9,,348.7,358.9,1983,2058,0.5,10.852,0.715900239,14155.18861
Conventional Steam Coal,113,1,112.0,,113.6,112.0,2008,2037,0.515,10.597,0.522131473,10754.043599999999
Conventional Steam Coal,113,3,271.0,,312.3,271.0,2009,2055,0.522,10.864,0.522131473,10754.043599999999
Petroleum Liquids,114,1,15.0,,26.1,19.0,1972,2022,0.0,25.0,0.286648753,307.06971100000004
Natural Gas Fired Combustion Turbine,116,GT1,50.0,,53.1,62.0,1972,2027,0.108,10.745,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,116,GT2,50.0,,53.1,62.0,1973,2028,0.108,10.745,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,116,GT3,101.0,,104.0,103.0,2019,2074,0.12,10.745,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,116,GT4,101.0,,104.0,103.0,2019,2074,0.12,10.745,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,116,GT5,101.0,,104.0,103.0,2019,2074,0.12,10.745,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,116,GT6,101.0,,104.0,103.0,2019,2074,0.12,10.745,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,116,GT7,101.0,,104.0,103.0,2019,2074,0.12,10.745,7.017535275,10539.91632
Natural Gas Fired Combined Cycle,117,1B,85.0,,132.0,92.0,1976,2031,0.341,10.194,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,2B,85.0,,132.0,92.0,1976,2031,0.332,10.234,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,3B,85.0,,132.0,92.0,1976,2031,0.372,10.176,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,C4-1,68.0,,91.0,78.0,2001,2056,0.417,7.855,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,C4-2,34.0,,44.6,34.0,2001,2056,0.417,9.505,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,C5-1,145.0,,184.0,153.0,2003,2058,0.417,7.855,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,C5-2,145.0,,184.0,153.0,2003,2058,0.417,7.855,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,C5-3,162.0,,201.0,162.0,2003,2058,0.417,7.855,6.207834486,4152.100625
Natural Gas Fired Combustion Turbine,117,GT1,50.0,,53.1,62.0,1972,2027,0.016,20.653,14.03507055,10539.91632
Natural Gas Fired Combustion Turbine,117,GT2,50.0,,53.1,62.0,1973,2028,0.016,20.654,14.03507055,10539.91632
Natural Gas Fired Combustion Turbine,118,GE1,76.0,,78.3,79.0,2002,2057,0.11,13.309,7.017535275,1121.119057
Natural Gas Fired Combustion Turbine,118,GT1,53.1,,53.1,50.0,1972,2027,0.115,13.317,7.017535275,1121.119057
Natural Gas Fired Combustion Turbine,118,GT2,50.0,,53.1,62.0,1973,2028,0.1,13.309,7.017535275,1121.119057
Natural Gas Fired Combustion Turbine,120,GT1,18.0,,19.6,22.0,1971,2026,0.073,12.035,1.74861846,10539.91632
Natural Gas Fired Combustion Turbine,120,GT2,18.0,,19.6,22.0,1971,2026,0.073,12.035,1.74861846,10539.91632
Petroleum Liquids,120,GT21,20.0,,25.3,22.0,1978,2028,0.078,12.035,1.74861846,10539.91632
Natural Gas Fired Combustion Turbine,120,GT3,52.0,,72.4,62.0,1973,2028,0.096,12.035,1.74861846,10539.91632
Petroleum Liquids,120,GT4,51.0,,72.4,61.0,1974,2024,0.074,12.035,1.74861846,10539.91632
Natural Gas Fired Combustion Turbine,120,GT5,47.7,,60.5,49.3,2008,2063,0.104,12.033,1.74861846,10539.91632
Natural Gas Fired Combustion Turbine,120,GT6,47.7,,60.5,49.3,2008,2063,0.104,12.033,1.74861846,10539.91632
Natural Gas Steam Turbine,120,ST1,75.0,,86.7,75.0,1959,2030,0.002,11.068,0.338551939,11156.73732
Natural Gas Fired Combustion Turbine,124,GT2,75.0,,85.0,77.4,2001,2056,0.002,14.677,28.46452204,1230.331313
Natural Gas Steam Turbine,126,4,156.0,,173.3,156.0,1967,2042,0.354,11.313,0.871086594,28706.0365
Natural Gas Fired Combustion Turbine,126,GT1,24.0,,27.0,26.8,1972,2027,0.001,12.229,2.740763267,307.06971100000004
Natural Gas Fired Combustion Turbine,126,GT2,24.0,,27.0,26.8,1972,2027,0.001,12.229,2.740763267,307.06971100000004
Natural Gas Internal Combustion Engine,126,RIC1,18.2,,18.8,18.7,2020,2075,0.368,10.745,2.276,3541.0
Natural Gas Internal Combustion Engine,126,RIC10,18.2,,18.8,18.7,2019,2074,0.368,10.745,2.276,3541.0
Natural Gas Internal Combustion Engine,126,RIC2,18.2,,18.8,18.7,2020,2075,0.368,10.745,2.276,3541.0
Natural Gas Internal Combustion Engine,126,RIC3,18.2,,18.8,18.7,2020,2075,0.368,10.745,2.276,3541.0
Natural Gas Internal Combustion Engine,126,RIC4,18.2,,18.8,18.7,2020,2075,0.368,10.745,2.276,3541.0
Natural Gas Internal Combustion Engine,126,RIC5,18.2,,18.8,18.7,2020,2075,0.368,10.745,2.276,3541.0
Natural Gas Internal Combustion Engine,126,RIC6,18.2,,18.8,18.7,2019,2074,0.368,10.745,2.276,3541.0
Natural Gas Internal Combustion Engine,126,RIC7,18.2,,18.8,18.7,2019,2074,0.368,10.745,2.276,3541.0
Natural Gas Internal Combustion Engine,126,RIC8,18.2,,18.8,18.7,2019,2074,0.368,10.745,2.276,3541.0
Natural Gas Internal Combustion Engine,126,RIC9,18.2,,18.8,18.7,2019,2074,0.368,10.745,2.276,3541.0
Natural Gas Steam Turbine,126,ST3,104.0,,113.6,104.0,1962,2037,0.342,11.323,0.871086594,28706.0365
Conventional Steam Coal,130,1,580.0,,591.4,585.0,1995,2070,0.4,10.462,0.48907032,10754.043599999999
Conventional Steam Coal,130,2,565.0,,556.1,570.0,1984,2059,0.4,10.509,0.48907032,10754.043599999999
Conventional Steam Coal,130,3,585.0,,652.0,580.0,2007,2082,0.531,10.061,0.48907032,10754.043599999999
Conventional Steam Coal,130,4,605.0,,652.0,595.0,2008,2083,0.586,9.997,0.48907032,10754.043599999999
Conventional Steam Coal,136,2,634.0,,714.6,640.0,1984,2059,0.595,10.21,0.483455068,10754.043599999999
Natural Gas Fired Combined Cycle,136,CT1,355.0,,384.2,368.6,2023,2078,0.87,6.226,1.29,7132.0
Natural Gas Fired Combined Cycle,136,CT2,355.0,,384.2,368.6,2023,2078,0.87,6.226,1.29,7132.0
Natural Gas Fired Combined Cycle,136,ST,394.0,,414.8,397.2,2023,2078,0.87,6.226,1.29,7132.0
Natural Gas Steam Turbine,141,AF1,113.0,,113.6,113.0,1958,2033,0.061,11.568,0.338551939,11156.73732
Natural Gas Steam Turbine,141,AF2,113.0,,113.6,113.0,1957,2032,0.049,11.4,0.338551939,11156.73732
Natural Gas Steam Turbine,141,AF3,181.0,,163.2,184.0,1961,2036,0.018,10.872,0.338551939,11156.73732
Natural Gas Fired Combustion Turbine,141,AF4,73.0,,80.5,87.0,1975,2030,0.004,16.458,0.947143212,1121.119057
Natural Gas Fired Combustion Turbine,141,AF5,73.0,,71.2,82.0,1974,2029,0.004,16.458,0.947143212,1121.119057
Natural Gas Fired Combustion Turbine,141,AF6,73.0,,71.2,82.0,1974,2029,0.004,16.458,0.947143212,1121.119057
Natural Gas Fired Combustion Turbine,141,AF7,45.0,,49.5,49.5,2022,2077,0.007,12.285,2.276,3541.0
Natural Gas Fired Combustion Turbine,141,AF8,45.0,,49.5,49.5,2022,2077,0.007,12.285,2.276,3541.0
Batteries,141,AFSB1,25.0,100.0,25.0,25.0,2021,2051,0.001,,0.0,17250.0
Solar Photovoltaic,141,PV-3,0.2,,0.2,0.2,2001,2031,0.039,,0.0,46920.0
Run of River Hydroelectric,143,CC5,3.0,,3.0,3.0,1939,2039,0.0,,0.0,9916.0
Conventional Hydroelectric,145,HM1,10.0,,9.9,10.0,1927,2027,0.031,,0.0,8006.0
Conventional Hydroelectric,145,HM2,10.0,,9.9,10.0,1927,2027,0.031,,0.0,8144.0
Conventional Hydroelectric,145,HM3,11.7,,11.7,11.7,1927,2027,0.032,,0.0,8144.0
Hydroelectric Pumped Storage,145,HM4,119.0,1844.5,99.8,119.0,1927,2027,0.111,,0.0,16000.0
Natural Gas Steam Turbine,147,KY1,34.0,,34.5,34.0,1952,2030,0.0,17.1,0.338551939,11156.73732
Natural Gas Steam Turbine,147,KY2,72.0,,73.5,72.0,1954,2030,0.0,13.797,0.338551939,11156.73732
Natural Gas Fired Combustion Turbine,147,KY4,59.0,,53.1,62.5,1971,2026,0.001,22.394,14.03507055,10539.91632
Natural Gas Fired Combustion Turbine,147,KY5,53.0,,60.3,62.0,1973,2028,0.001,22.393,14.03507055,10539.91632
Natural Gas Fired Combustion Turbine,147,KY6,53.0,,60.3,62.0,1973,2028,0.001,22.393,14.03507055,10539.91632
Natural Gas Fired Combined Cycle,147,KY7,148.0,,170.0,167.0,2002,2057,0.604,7.333,3.308306845,4342.0804259999995
Natural Gas Fired Combined Cycle,147,KY7A,106.0,,122.0,110.0,2002,2057,0.604,7.333,3.308306845,4342.0804259999995
Conventional Hydroelectric,148,MF1,11.5,,9.2,11.5,1926,2026,0.051,,0.0,7821.0
Hydroelectric Pumped Storage,148,MF2,57.3,888.15,54.3,57.3,1971,2071,0.112,,0.0,19126.0
Conventional Hydroelectric,149,ROOS,34.0,,36.0,34.0,1973,2073,0.22,,0.0,8672.0
Conventional Hydroelectric,150,SM,13.0,,13.0,13.0,1930,2030,0.248,,0.0,9099.0
Petroleum Liquids,151,1,53.5,,71.2,53.5,1980,2030,0.002,19.817,0.947143212,1121.119057
Natural Gas Fired Combustion Turbine,151,2,53.5,,71.2,53.5,1981,2036,0.002,19.822,0.947143212,1121.119057
Conventional Hydroelectric,152,1,51.7,,51.7,51.7,1951,2051,0.465,,0.0,7672.0
Conventional Hydroelectric,152,2,51.7,,51.7,51.7,1951,2051,0.465,,0.0,7101.0
Conventional Hydroelectric,152,3,48.0,,48.0,48.0,1951,2051,0.465,,0.0,7095.0
Conventional Hydroelectric,152,4,51.7,,51.7,51.7,1951,2051,0.465,,0.0,7101.0
Conventional Hydroelectric,152,5,51.7,,51.7,51.7,1951,2051,0.465,,0.0,7101.0
Conventional Hydroelectric,153,1,165.0,,165.0,165.0,1964,2064,0.287,,0.0,6852.0
Conventional Hydroelectric,153,2,165.0,,165.0,165.0,1964,2064,0.287,,0.0,6915.0
Conventional Hydroelectric,153,3,165.0,,165.0,165.0,1964,2064,0.287,,0.0,6915.0
Conventional Hydroelectric,153,4,165.0,,165.0,165.0,1965,2065,0.287,,0.0,6901.0
Conventional Hydroelectric,153,5,165.0,,165.0,165.0,1965,2065,0.287,,0.0,6901.0
Conventional Hydroelectric,153,6,165.0,,165.0,165.0,1965,2065,0.287,,0.0,6901.0
Conventional Hydroelectric,153,7,157.0,,157.0,157.0,1966,2066,0.287,,0.0,6875.0
Conventional Hydroelectric,153,8,165.0,,165.0,165.0,1966,2066,0.287,,0.0,6883.0
Conventional Hydroelectric,154,N0,2.4,,2.4,2.4,1936,2036,0.194,,0.0,9335.0
Conventional Hydroelectric,154,N1,130.0,,130.0,130.0,1936,2036,0.194,,0.0,6308.0
Conventional Hydroelectric,154,N2,130.0,,130.0,130.0,1936,2036,0.194,,0.0,6308.0
Conventional Hydroelectric,154,N3,130.0,,130.0,130.0,1937,2037,0.194,,0.0,6310.0
Conventional Hydroelectric,154,N4,130.0,,130.0,130.0,1936,2036,0.194,,0.0,6308.0
Conventional Hydroelectric,154,N5,130.0,,130.0,130.0,1938,2038,0.194,,0.0,6310.0
Conventional Hydroelectric,154,N6,130.0,,130.0,130.0,1938,2038,0.194,,0.0,6310.0
